parent,child
service-nginx,nginx
service-user-timeline,user-timeline
service-home-timeline,home-timeline
service-compose-post,compose-post
service-social-graph,social-graph
service-post-storage,post-storage
service-media,media
service-unique-id,unique-id
service-url-shorten,url-shorten
service-text,text
service-user-mention,user-mention
service-user,user
user-timeline,nginx
home-timeline,nginx
compose-post,nginx
user-timeline,compose-post
home-timeline,compose-post
social-graph,home-timeline
post-storage,home-timeline
post-storage,user-timeline
media,compose-post
post-storage,compose-post
unique-id,compose-post
text,compose-post
user,compose-post
url-shorten,text
user-mention,text