,media,compose-post,user,text,url-shorten,user-mention,user-timeline,nginx,post-storage,unique-id,social-graph,home-timeline,service-user-cpu_util,service-user-mem_util,service-user-netio_read,service-user-netio_write,service-user-blkio_read,service-user-blkio_write,service-post-storage-cpu_util,service-post-storage-mem_util,service-post-storage-netio_read,service-post-storage-netio_write,service-post-storage-blkio_read,service-post-storage-blkio_write,service-nginx-cpu_util,service-nginx-mem_util,service-nginx-netio_read,service-nginx-netio_write,service-nginx-blkio_read,service-nginx-blkio_write,service-media-cpu_util,service-media-mem_util,service-media-netio_read,service-media-netio_write,service-media-blkio_read,service-media-blkio_write,service-compose-post-cpu_util,service-compose-post-mem_util,service-compose-post-netio_read,service-compose-post-netio_write,service-compose-post-blkio_read,service-compose-post-blkio_write,service-unique-id-cpu_util,service-unique-id-mem_util,service-unique-id-netio_read,service-unique-id-netio_write,service-unique-id-blkio_read,service-unique-id-blkio_write,service-url-shorten-cpu_util,service-url-shorten-mem_util,service-url-shorten-netio_read,service-url-shorten-netio_write,service-url-shorten-blkio_read,service-url-shorten-blkio_write,service-user-timeline-cpu_util,service-user-timeline-mem_util,service-user-timeline-netio_read,service-user-timeline-netio_write,service-user-timeline-blkio_read,service-user-timeline-blkio_write,service-home-timeline-cpu_util,service-home-timeline-mem_util,service-home-timeline-netio_read,service-home-timeline-netio_write,service-home-timeline-blkio_read,service-home-timeline-blkio_write,service-text-cpu_util,service-text-mem_util,service-text-netio_read,service-text-netio_write,service-text-blkio_read,service-text-blkio_write,service-user-mention-cpu_util,service-user-mention-mem_util,service-user-mention-netio_read,service-user-mention-netio_write,service-user-mention-blkio_read,service-user-mention-blkio_write,service-social-graph-cpu_util,service-social-graph-mem_util,service-social-graph-netio_read,service-social-graph-netio_write,service-social-graph-blkio_read,service-social-graph-blkio_write
0,11,10725,10,4222,1434,1895,2110,14592,1095,21,1685,2409,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
1,9,10022,11,4222,1442,1940,1739,13956,1013,20,1594,2201,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
2,9,10036,11,3700,1267,1572,1741,13899,931,20,1321,2974,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
3,11,10731,11,4131,1436,1792,1868,14992,1039,22,1670,2658,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
4,11,10043,12,4080,1430,1818,1802,14128,913,21,1722,2316,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
5,11,19162,10,6197,1500,1873,1933,22258,907,23,1630,3343,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
6,9,9410,12,3816,1317,1842,1758,13086,932,21,1392,2094,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
7,11,10464,7,3597,1135,1742,1816,15843,962,17,1517,2993,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
8,11,9927,10,4223,1385,1932,1703,14020,1004,19,1553,2134,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
9,11,12564,11,4258,1580,1911,1991,16681,1147,19,1572,3344,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
10,12,11521,10,4417,1630,1793,1824,15807,1051,21,1599,2403,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
11,10,10864,11,4364,1498,1925,1882,15093,1107,20,1452,2133,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
12,10,9718,8,3885,1446,1703,1892,13035,1132,21,1618,2227,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
13,12,10065,11,4088,1295,1978,1830,14045,866,21,1571,2271,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
14,15,11821,9,4125,1270,1833,1711,15399,900,21,1567,3112,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
15,10,10699,12,4190,1501,1838,1791,15411,906,22,2354,2991,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
16,7,9715,11,3896,1598,1709,1594,14020,970,22,1386,1980,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
17,11,10163,12,4378,1711,1780,1781,14420,1002,22,1456,2055,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
18,11,10764,11,4188,1367,1950,1910,14955,1005,21,1588,2281,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
19,10,12943,11,4508,1456,1962,1752,17175,1005,19,1704,3634,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
20,12,10621,7,3758,1383,1668,2217,13619,991,21,1544,2251,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
21,12,10162,14,4495,1838,1842,1821,15240,1043,22,1562,2121,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
22,12,19662,13,6068,1162,1935,2141,22508,989,21,1763,3433,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
23,10,12405,11,4660,1649,2125,2105,17863,1042,23,1860,3714,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
24,11,19964,11,6146,1526,1867,1976,23281,1044,24,1529,4076,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
25,10,9724,10,3802,1233,1765,2082,13322,964,20,1570,2177,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
26,11,8853,10,3665,1192,1625,1615,12334,829,19,1395,1896,1.14,1.3,56900000.0,33110000.0,0.0,0.0,0.77,2.1599999999999997,112928300.0,72050000.0,0.0,0.0,0.35,0.49,44500000.0,55100000.0,0.0,0.0,0.37,1.5,12984900.0,8790000.0,0.0,0.0,1.05,0.05,107000000.0,153000000.0,0.0,0.0,0.06,0.04,11000000.0,6540000.0,0.0,0.0,1.4300000000000002,2.27,59128700.0,60290000.0,0.0,0.0,1.04,1.4700000000000002,84290000.0,80280000.0,0.0,0.0,0.24000000000000002,0.11,18712000.0,20258000.0,0.0,0.0,0.56,0.02,57400000.0,73200000.0,0.0,0.0,0.39,0.03,36200000.0,50700000.0,0.0,0.0,0.8999999999999999,1.33,40320000.0,37300000.0,0.0,0.0
